,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman,y_to_c_ratio_in_yhat
2409,0.281,0.0355613525674916,0.06572913044594098,0.04521339939417668,50,,0.3,0,1000,394511775,0.3088732909065736,0.27700950739662,0.1
2410,0.992,0.04412817894563159,0.1267322812012447,0.0011652639370620665,50,,0.3,0,1000,150591064,0.7359886856524516,0.7242672992534995,0.1
2411,0.184,0.07365025183661955,0.005548644001398539,0.047162306629768835,50,,0.3,0,1000,1987234503,0.32026566348683677,0.3582763716827877,0.1
2412,0.918,0.00811862128676355,0.022938955910905334,-2.6119206131269834e-08,50,,0.3,0,1000,1950587861,0.9246833945611084,0.961351874877036,0.1
2413,0.678,0.01571161198218818,0.104643913931594,0.002245516974390016,50,,0.3,0,1000,1692337330,0.9715817847108832,0.9427269622945416,0.1
2414,0.1,0.004417276885552601,0.24816148002581606,0.19916606703504136,50,,0.3,0,1000,1266608689,0.0438597136539684,0.03878392382314676,0.1
2415,0.996,0.18828879292274847,0.11915828481494173,0.006652177219137245,50,,0.3,0,1000,1080413000,0.09479599123795024,0.3505602757362478,0.1
2416,0.304,0.03441246827419464,0.11247870590361309,0.07395435776699977,50,,0.3,0,1000,93428516,0.2618540709022065,0.3079949806349287,0.1
2417,0.617,0.0036428276458437825,0.09178676807733654,0.005632456315103895,50,,0.3,0,1000,318080582,0.7066775494668909,0.8066419460908935,0.1
2418,0.795,0.1409609456057731,0.060672628236832504,0.0011100151650782486,50,,0.3,0,1000,107297184,0.6179140929910082,0.8577084244330968,0.1
2419,0.309,0.026274773394936224,0.05408852181671164,0.026264597034865944,50,,0.3,0,1000,1328459457,0.20806519551235222,0.2514480429387393,0.1
2420,0.699,0.01087690174487388,0.06395696817060104,0.000192253457799052,50,,0.3,0,1000,2055669258,0.8973398245285925,0.9359259278956726,0.1
2421,0.503,0.06440817733670956,0.008972731586263882,0.02414268172449474,50,,0.3,0,1000,1555036296,0.3297765819248656,0.21771320322111729,0.1
2422,0.405,6.25740554351939e-05,0.13836131239818628,0.023769725667741604,50,,0.3,0,1000,556222901,0.2756903468440913,0.3211595104500772,0.1
2423,0.667,1.5289599522350095e-05,0.13332231226950042,0.004437734352640055,50,,0.3,0,1000,722003956,0.7530076950691958,0.7262653287332811,0.1
2424,0.502,0.009104286420410057,0.19543177628476327,0.006877603820212186,50,,0.3,0,1000,1563092454,0.4040378893853339,0.47855285219729005,0.1
2425,0.276,2.0564203526141078e-05,0.1289026440678025,0.0575130175555848,50,,0.3,0,1000,1105517905,0.17171527819372262,0.20786122305817614,0.1
2426,0.318,0.017168087513176444,0.15985778123571592,0.03797277534169663,50,,0.3,0,1000,1368181454,0.3635924561552888,0.48408351979790754,0.1
2427,0.947,0.0010784396721467138,0.00038273605322114435,-2.5253697044647083e-07,50,,0.3,0,1000,788020519,0.9965018148755467,0.9964136811626157,0.1
2428,0.693,0.0014660979863548862,0.033236482206027596,0.0026980589516303333,50,,0.3,0,1000,1202049569,0.7937498512091039,0.8258324456229614,0.1
2429,0.783,0.023261291938624917,0.21267843020873112,0.004416036972942461,50,,0.3,0,1000,1821903612,0.33360780683521307,0.17704476199752703,0.1
2430,0.909,0.12233756377118987,0.08891817888503306,0.015908719949906613,50,,0.3,0,1000,1403021026,0.14594684959014873,0.45929042220744565,0.1
2431,0.539,0.006111173924424285,0.03464450287665477,0.006877603820212186,50,,0.3,0,1000,421073183,0.7165423418224655,0.700969189179253,0.1
2432,0.261,9.820107022140423e-05,0.006727339503058594,0.024082990203634913,50,,0.3,0,1000,1003272091,0.3287427834573583,0.3128650504884417,0.1
2433,0.468,0.0387924535730072,0.0346374272415475,0.020150476242064008,50,,0.3,0,1000,2075130765,0.5289397615078086,0.596309388068659,0.1
2434,0.628,0.0009894134681421862,0.038617329898937514,0.017624437774074297,50,,0.3,0,1000,950626608,0.47987160020711894,0.5075045865170082,0.1
2435,0.732,0.037145793399312566,0.0290904106840163,0.00010373966560051073,50,,0.3,0,1000,693848593,0.7660811769469474,0.8282928203029488,0.1
2436,0.511,0.00037432579234664143,0.15712850367492137,0.006736364673370243,50,,0.3,0,1000,304789541,0.6225688960579192,0.5808648104063847,0.1
2437,0.022,0.07512942582573845,0.10405706085438271,0.19409306139288174,50,,0.3,0,1000,958902436,0.015239073488891535,0.016741068697678656,0.1
2438,0.926,0.00896184487567786,0.1509444054131015,0.002114062457705068,50,,0.3,0,1000,549028766,0.5597251111887062,0.621084007984259,0.1
